;Código da Escola;Nome da Escola;Dependência Administrativa;Aprovação;Reprovação;Abandono;NO_REGIAO;SG_UF;TP_LOCALIZACAO;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_LABORATORIO_INFORMATICA;IN_BIBLIOTECA;IN_BANHEIRO;IN_AGUA_POTAVEL;Energia;Esgoto;IN_BANHEIRO_PNE;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL
6546;31158151;IFTM - CAMPUS UBERABA;Federal;91.2;8.5;0.3;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
6547;31159671;EE MARECHAL HUMBERTO ALENCAR CASTELO BRANCO;Estadual;96.1;0;3.9;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
6548;31159751;EE MINAS GERAIS;Estadual;84.6;13.3;2.1;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
6549;31159786;EE BERNARDO VASCONCELOS;Estadual;73.3;15.9;10.8;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
6550;31159794;EE NOSSA SENHORA DA ABADIA;Estadual;94;1.2;4.8;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
6551;31159841;EE BOULANGER PUCCI;Estadual;75.3;6.2;18.5;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6552;31159891;EE PAULO JOSE DERENUSSON;Estadual;81.7;3.8;14.5;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0
6553;31159972;EE PROFESSORA CORINA DE OLIVEIRA;Estadual;90.9;5.3;3.8;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
6554;31160024;EE DOUTOR JOSE MENDONCA;Estadual;84.4;3.1;12.5;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0
6555;31160105;EE GABRIEL TOTI;Estadual;92.5;7.5;0;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
6556;31160121;EE HENRIQUE KRUGER;Estadual;68.6;10.6;20.8;Sudeste;MG;Urbana;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0
6557;31160148;EE HORIZONTA LEMOS;Estadual;80.5;10.9;8.6;Sudeste;MG;Urbana;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
6558;31160164;EE IRMAO AFONSO;Estadual;71.3;23.5;5.2;Sudeste;MG;Urbana;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
6559;31160172;EE LAURO FONTOURA;Estadual;87.1;0;12.9;Sudeste;MG;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
